trial_id,condition,seed,noise_sigma_m,delay_ms,latency_enter_s,latency_exit_s,recovery_time_s,false_trigger_count,false_trigger_rate_per_min,switching_count,extra_switches,mean_abs_command_change,invalid_sample_count
C0_n0.01_d000_r01,C0,202603,0.01,0,0.0028571428571426694,2.8571428571428577,2.8571428571428577,1,2.997002997002997,2,0,0.0012,0
C0_n0.01_d000_r02,C0,202604,0.01,0,0.0028571428571426694,2.8571428571428577,2.8571428571428577,1,2.997002997002997,2,0,0.0012,0
C0_n0.01_d000_r03,C0,202605,0.01,0,0.0028571428571426694,2.8571428571428577,2.8571428571428577,1,2.997002997002997,2,0,0.0012,0
C0_n0.01_d000_r04,C0,202606,0.01,0,0.0028571428571426694,2.8571428571428577,2.8571428571428577,1,2.997002997002997,2,0,0.0012,0
C0_n0.01_d000_r05,C0,202607,0.01,0,0.0028571428571426694,2.8571428571428577,2.8571428571428577,1,2.997002997002997,2,0,0.0012,0
C1_n0.01_d000_r01,C1,202608,0.01,0,0.0028571428571426694,0.017142857142857792,0.137142857142857,4,11.988011988011989,16,14,0.0096,0
C1_n0.01_d000_r02,C1,202609,0.01,0,0.0028571428571426694,0.037142857142857366,0.14285714285714235,3,8.991008991008991,12,10,0.007199999999999999,0
C1_n0.01_d000_r03,C1,202610,0.01,0,0.022857142857142243,0.017142857142857792,0.137142857142857,2,5.994005994005994,14,12,0.008400000000000001,0
C1_n0.01_d000_r04,C1,202611,0.01,0,0.0028571428571426694,0.037142857142857366,0.26285714285714246,5,14.985014985014985,18,16,0.010799999999999999,0
C1_n0.01_d000_r05,C1,202612,0.01,0,0.06285714285714228,0.037142857142857366,0.22285714285714242,0,0.0,12,10,0.007199999999999999,0
C2_n0.01_d000_r01,C2,202613,0.01,0,0.38285714285714256,0.4371428571428577,0.4371428571428577,0,0.0,2,0,0.0012,0
C2_n0.01_d000_r02,C2,202614,0.01,0,0.3428571428571425,0.4371428571428577,0.4371428571428577,0,0.0,2,0,0.0012,0
C2_n0.01_d000_r03,C2,202615,0.01,0,0.44285714285714217,0.5171428571428578,0.5171428571428578,0,0.0,2,0,0.0012,0
C2_n0.01_d000_r04,C2,202616,0.01,0,0.44285714285714217,0.4371428571428577,0.44285714285714217,0,0.0,2,0,0.0012,0
C2_n0.01_d000_r05,C2,202617,0.01,0,0.4228571428571426,0.4371428571428577,0.4371428571428577,0,0.0,2,0,0.0012,0
C3_n0.01_d000_r01,C3,202618,0.01,0,0.0028571428571426694,0.09714285714285786,0.09714285714285786,0,0.0,2,0,0.004645449961261074,0
C3_n0.01_d000_r02,C3,202619,0.01,0,0.042857142857142705,0.05714285714285694,0.09714285714285786,1,2.997002997002997,4,2,0.004699010046487867,0
C3_n0.01_d000_r03,C3,202620,0.01,0,0.06285714285714228,0.137142857142857,0.137142857142857,1,2.997002997002997,4,2,0.004657276875450541,0
C3_n0.01_d000_r04,C3,202621,0.01,0,0.042857142857142705,0.11714285714285744,0.11714285714285744,0,0.0,4,2,0.004545551597689419,0
C3_n0.01_d000_r05,C3,202622,0.01,0,0.06285714285714228,0.037142857142857366,0.09714285714285786,1,2.997002997002997,4,2,0.0046999127847484395,0
