trial_id,condition,seed,time_s,sensor_time_s,sample_age_s,true_distance_m,raw_distance_m,filtered_distance_m,expected_state,state,command,valid,event_label,invalid_reason,noise_sigma_m,delay_ms
C2_n0.01_d000_r05,C2,202617,0.0,0.0,0.0,0.6,0.6011740056317139,0.6011740056317139,FAR,FAR,0.0,1,,,0.01,0
C2_n0.01_d000_r05,C2,202617,0.02,0.02,0.0,0.6,0.6074402696109394,0.6027405716265203,FAR,FAR,0.0,1,,,0.01,0
C2_n0.01_d000_r05,C2,202617,0.04,0.04,0.0,0.6,0.5977072809902345,0.6014822489674488,FAR,FAR,0.0,1,,,0.01,0
C2_n0.01_d000_r05,C2,202617,0.06,0.06,0.0,0.6,0.6177744024652116,0.6055552873418896,FAR,FAR,0.0,1,,,0.01,0
C2_n0.01_d000_r05,C2,202617,0.08,0.08,0.0,0.6,0.5908712845614752,0.601884286646786,FAR,FAR,0.0,1,,,0.01,0
C2_n0.01_d000_r05,C2,202617,0.1,0.1,0.0,0.6,0.6030841105945287,0.6021842426337216,FAR,FAR,0.0,1,,,0.01,0
C2_n0.01_d000_r05,C2,202617,0.12,0.12,0.0,0.6,0.610792971599159,0.604336424875081,FAR,FAR,0.0,1,,,0.01,0
C2_n0.01_d000_r05,C2,202617,0.14,0.14,0.0,0.6,0.5808688510709061,0.5984695314240374,FAR,FAR,0.0,1,,,0.01,0
C2_n0.01_d000_r05,C2,202617,0.16,0.16,0.0,0.6,0.6089724661574015,0.6010952651073784,FAR,FAR,0.0,1,,,0.01,0
C2_n0.01_d000_r05,C2,202617,0.18,0.18,0.0,0.6,0.5943112057395481,0.5993992502654208,FAR,FAR,0.0,1,,,0.01,0
C2_n0.01_d000_r05,C2,202617,0.2,0.2,0.0,0.6,0.607555248937536,0.6014382499334496,FAR,FAR,0.0,1,,,0.01,0
C2_n0.01_d000_r05,C2,202617,0.22,0.22,0.0,0.6,0.6031664015757977,0.6018702878440366,FAR,FAR,0.0,1,,,0.01,0
C2_n0.01_d000_r05,C2,202617,0.24,0.24,0.0,0.6,0.6094950108984736,0.6037764686076459,FAR,FAR,0.0,1,,,0.01,0
C2_n0.01_d000_r05,C2,202617,0.26,0.26,0.0,0.6,0.6009491184632237,0.6030696310715403,FAR,FAR,0.0,1,,,0.01,0
C2_n0.01_d000_r05,C2,202617,0.28,0.28,0.0,0.6,0.5983564040603193,0.601891324318735,FAR,FAR,0.0,1,,,0.01,0
C2_n0.01_d000_r05,C2,202617,0.3,0.3,0.0,0.6,0.6048811468991008,0.6026387799638264,FAR,FAR,0.0,1,,,0.01,0
C2_n0.01_d000_r05,C2,202617,0.32,0.32,0.0,0.6,0.6143994931724743,0.6055789582659884,FAR,FAR,0.0,1,,,0.01,0
C2_n0.01_d000_r05,C2,202617,0.34,0.34,0.0,0.6,0.6095038439942043,0.6065601796980424,FAR,FAR,0.0,1,,,0.01,0
C2_n0.01_d000_r05,C2,202617,0.36,0.36,0.0,0.6,0.6001952078724367,0.604968936741641,FAR,FAR,0.0,1,,,0.01,0
C2_n0.01_d000_r05,C2,202617,0.38,0.38,0.0,0.6,0.615506834669581,0.6076034112236259,FAR,FAR,0.0,1,,,0.01,0
C2_n0.01_d000_r05,C2,202617,0.4,0.4,0.0,0.6,0.6047547909287346,0.6068912561499031,FAR,FAR,0.0,1,,,0.01,0
C2_n0.01_d000_r05,C2,202617,0.42,0.42,0.0,0.6,0.6055391311026337,0.6065532248880858,FAR,FAR,0.0,1,,,0.01,0
C2_n0.01_d000_r05,C2,202617,0.44,0.44,0.0,0.6,0.593988934047927,0.6034121521780461,FAR,FAR,0.0,1,,,0.01,0
C2_n0.01_d000_r05,C2,202617,0.46,0.46,0.0,0.6,0.6080486820717469,0.6045712846514713,FAR,FAR,0.0,1,,,0.01,0
C2_n0.01_d000_r05,C2,202617,0.48,0.48,0.0,0.6,0.6029654943397215,0.6041698370735338,FAR,FAR,0.0,1,,,0.01,0
C2_n0.01_d000_r05,C2,202617,0.5,0.5,0.0,0.6,0.6221967091749844,0.6086765550988964,FAR,FAR,0.0,1,,,0.01,0
C2_n0.01_d000_r05,C2,202617,0.52,0.52,0.0,0.6,0.6043145331808515,0.6075860496193852,FAR,FAR,0.0,1,,,0.01,0
C2_n0.01_d000_r05,C2,202617,0.54,0.54,0.0,0.6,0.5894920121313322,0.6030625402473719,FAR,FAR,0.0,1,,,0.01,0
C2_n0.01_d000_r05,C2,202617,0.56,0.56,0.0,0.6,0.6007016156257572,0.6024723090919682,FAR,FAR,0.0,1,,,0.01,0
C2_n0.01_d000_r05,C2,202617,0.58,0.58,0.0,0.6,0.6140135445953552,0.6053576179678151,FAR,FAR,0.0,1,,,0.01,0
C2_n0.01_d000_r05,C2,202617,0.6,0.6,0.0,0.6,0.5866464435346846,0.6006798243595325,FAR,FAR,0.0,1,,,0.01,0
C2_n0.01_d000_r05,C2,202617,0.62,0.62,0.0,0.6,0.5899271207009873,0.5979916484448962,FAR,FAR,0.0,1,,,0.01,0
C2_n0.01_d000_r05,C2,202617,0.64,0.64,0.0,0.6,0.5989729975938973,0.5982369857321465,FAR,FAR,0.0,1,,,0.01,0
C2_n0.01_d000_r05,C2,202617,0.66,0.66,0.0,0.6,0.5911843437310585,0.5964738252318744,FAR,FAR,0.0,1,,,0.01,0
C2_n0.01_d000_r05,C2,202617,0.68,0.68,0.0,0.6,0.5891115016169701,0.5946332443281483,FAR,FAR,0.0,1,,,0.01,0
C2_n0.01_d000_r05,C2,202617,0.7,0.7,0.0,0.6,0.6043817967863314,0.5970703824426942,FAR,FAR,0.0,1,,,0.01,0
C2_n0.01_d000_r05,C2,202617,0.72,0.72,0.0,0.6,0.5968404569436957,0.5970129010679446,FAR,FAR,0.0,1,,,0.01,0
C2_n0.01_d000_r05,C2,202617,0.74,0.74,0.0,0.6,0.6024499865709655,0.5983721724436998,FAR,FAR,0.0,1,,,0.01,0
C2_n0.01_d000_r05,C2,202617,0.76,0.76,0.0,0.6,0.6110156893351621,0.6015330516665653,FAR,FAR,0.0,1,,,0.01,0
C2_n0.01_d000_r05,C2,202617,0.78,0.78,0.0,0.6,0.6046639827499711,0.6023157844374167,FAR,FAR,0.0,1,,,0.01,0
C2_n0.01_d000_r05,C2,202617,0.8,0.8,0.0,0.6,0.5755717939169118,0.5956297868072905,FAR,FAR,0.0,1,,,0.01,0
C2_n0.01_d000_r05,C2,202617,0.82,0.82,0.0,0.6,0.5802878251073941,0.5917942963823164,FAR,FAR,0.0,1,,,0.01,0
C2_n0.01_d000_r05,C2,202617,0.84,0.84,0.0,0.6,0.5828698287416195,0.5895631794721422,FAR,FAR,0.0,1,,,0.01,0
C2_n0.01_d000_r05,C2,202617,0.86,0.86,0.0,0.6,0.5938544338329683,0.5906359930623488,FAR,FAR,0.0,1,,,0.01,0
C2_n0.01_d000_r05,C2,202617,0.88,0.88,0.0,0.6,0.6071278575016823,0.5947589591721822,FAR,FAR,0.0,1,,,0.01,0
C2_n0.01_d000_r05,C2,202617,0.9,0.9,0.0,0.6,0.602222331030162,0.5966248021366771,FAR,FAR,0.0,1,,,0.01,0
C2_n0.01_d000_r05,C2,202617,0.92,0.92,0.0,0.6,0.584855466478516,0.5936824682221369,FAR,FAR,0.0,1,,,0.01,0
C2_n0.01_d000_r05,C2,202617,0.94,0.94,0.0,0.6,0.5906920781688412,0.5929348707088129,FAR,FAR,0.0,1,,,0.01,0
C2_n0.01_d000_r05,C2,202617,0.96,0.96,0.0,0.6,0.5915508371496002,0.5925888623190098,FAR,FAR,0.0,1,,,0.01,0
C2_n0.01_d000_r05,C2,202617,0.98,0.98,0.0,0.6,0.5985687417984037,0.5940838321888583,FAR,FAR,0.0,1,,,0.01,0
C2_n0.01_d000_r05,C2,202617,1.0,1.0,0.0,0.6,0.6004258291688779,0.5956693314338632,FAR,FAR,0.0,1,,,0.01,0
C2_n0.01_d000_r05,C2,202617,1.02,1.02,0.0,0.6,0.6076794888134408,0.5986718707787576,FAR,FAR,0.0,1,,,0.01,0
C2_n0.01_d000_r05,C2,202617,1.04,1.04,0.0,0.6,0.6093711230969219,0.6013466838582987,FAR,FAR,0.0,1,,,0.01,0
C2_n0.01_d000_r05,C2,202617,1.06,1.06,0.0,0.6,0.6021829736030961,0.601555756294498,FAR,FAR,0.0,1,,,0.01,0
C2_n0.01_d000_r05,C2,202617,1.08,1.08,0.0,0.6,0.5969603286809131,0.6004068993911018,FAR,FAR,0.0,1,,,0.01,0
C2_n0.01_d000_r05,C2,202617,1.1,1.1,0.0,0.6,0.6113036159092193,0.6031310785206312,FAR,FAR,0.0,1,,,0.01,0
C2_n0.01_d000_r05,C2,202617,1.12,1.12,0.0,0.6,0.6025793323000804,0.6029931419654935,FAR,FAR,0.0,1,,,0.01,0
