trial_id,condition,seed,noise_sigma_m,delay_ms,latency_enter_s,latency_exit_s,recovery_time_s,false_trigger_count,false_trigger_rate_per_min,switching_count,extra_switches,mean_abs_command_change,invalid_sample_count
C2_n0.00_d000_r01,C2,202603,0.0,0,0.4228571428571426,0.41714285714285815,0.4228571428571426,0,0.0,2,0,0.0012,0
C2_n0.00_d000_r02,C2,202604,0.0,0,0.4228571428571426,0.41714285714285815,0.4228571428571426,0,0.0,2,0,0.0012,0
C2_n0.00_d000_r03,C2,202605,0.0,0,0.4228571428571426,0.41714285714285815,0.4228571428571426,0,0.0,2,0,0.0012,0
C2_n0.00_d000_r04,C2,202606,0.0,0,0.4228571428571426,0.41714285714285815,0.4228571428571426,0,0.0,2,0,0.0012,0
C2_n0.00_d000_r05,C2,202607,0.0,0,0.4228571428571426,0.41714285714285815,0.4228571428571426,0,0.0,2,0,0.0012,0
C2_n0.00_d100_r01,C2,202608,0.0,100,0.5228571428571422,0.5171428571428578,0.5228571428571422,0,0.0,2,0,0.0012,5
C2_n0.00_d100_r02,C2,202609,0.0,100,0.5228571428571422,0.5171428571428578,0.5228571428571422,0,0.0,2,0,0.0012,5
C2_n0.00_d100_r03,C2,202610,0.0,100,0.5228571428571422,0.5171428571428578,0.5228571428571422,0,0.0,2,0,0.0012,5
C2_n0.00_d100_r04,C2,202611,0.0,100,0.5228571428571422,0.5171428571428578,0.5228571428571422,0,0.0,2,0,0.0012,5
C2_n0.00_d100_r05,C2,202612,0.0,100,0.5228571428571422,0.5171428571428578,0.5228571428571422,0,0.0,2,0,0.0012,5
C2_n0.00_d300_r01,C2,202613,0.0,300,0.7228571428571424,0.7171428571428571,0.7228571428571424,0,0.0,2,0,0.0012,15
C2_n0.00_d300_r02,C2,202614,0.0,300,0.7228571428571424,0.7171428571428571,0.7228571428571424,0,0.0,2,0,0.0012,15
C2_n0.00_d300_r03,C2,202615,0.0,300,0.7228571428571424,0.7171428571428571,0.7228571428571424,0,0.0,2,0,0.0012,15
C2_n0.00_d300_r04,C2,202616,0.0,300,0.7228571428571424,0.7171428571428571,0.7228571428571424,0,0.0,2,0,0.0012,15
C2_n0.00_d300_r05,C2,202617,0.0,300,0.7228571428571424,0.7171428571428571,0.7228571428571424,0,0.0,2,0,0.0012,15
C2_n0.01_d000_r01,C2,202618,0.01,0,0.3628571428571421,0.3771428571428572,0.3771428571428572,0,0.0,2,0,0.0012,0
C2_n0.01_d000_r02,C2,202619,0.01,0,0.44285714285714217,0.4371428571428577,0.44285714285714217,0,0.0,2,0,0.0012,0
C2_n0.01_d000_r03,C2,202620,0.01,0,0.4228571428571426,0.3971428571428568,0.4228571428571426,0,0.0,2,0,0.0012,0
C2_n0.01_d000_r04,C2,202621,0.01,0,0.4228571428571426,0.3771428571428572,0.4228571428571426,0,0.0,2,0,0.0012,0
C2_n0.01_d000_r05,C2,202622,0.01,0,0.5028571428571427,0.4971428571428582,0.5028571428571427,0,0.0,2,0,0.0012,0
C2_n0.01_d100_r01,C2,202623,0.01,100,0.5428571428571427,0.5171428571428578,0.5428571428571427,0,0.0,2,0,0.0012,5
C2_n0.01_d100_r02,C2,202624,0.01,100,0.44285714285714217,0.5571428571428569,0.5571428571428569,0,0.0,2,0,0.0012,5
C2_n0.01_d100_r03,C2,202625,0.01,100,0.46285714285714263,0.5371428571428574,0.5371428571428574,0,0.0,2,0,0.0012,5
C2_n0.01_d100_r04,C2,202626,0.01,100,0.5228571428571422,0.5171428571428578,0.5228571428571422,0,0.0,2,0,0.0012,5
C2_n0.01_d100_r05,C2,202627,0.01,100,0.46285714285714263,0.5571428571428569,0.5571428571428569,0,0.0,2,0,0.0012,5
C2_n0.01_d300_r01,C2,202628,0.01,300,0.7628571428571425,0.6771428571428579,0.7628571428571425,0,0.0,2,0,0.0012,15
C2_n0.01_d300_r02,C2,202629,0.01,300,0.6428571428571423,0.757142857142858,0.757142857142858,0,0.0,2,0,0.0012,15
C2_n0.01_d300_r03,C2,202630,0.01,300,0.742857142857142,0.7171428571428571,0.742857142857142,0,0.0,2,0,0.0012,15
C2_n0.01_d300_r04,C2,202631,0.01,300,0.742857142857142,0.6571428571428584,0.742857142857142,0,0.0,2,0,0.0012,15
C2_n0.01_d300_r05,C2,202632,0.01,300,0.6228571428571428,0.757142857142858,0.757142857142858,0,0.0,2,0,0.0012,15
C2_n0.03_d000_r01,C2,202633,0.03,0,0.4228571428571426,0.3971428571428568,0.4228571428571426,0,0.0,2,0,0.0012,0
C2_n0.03_d000_r02,C2,202634,0.03,0,0.3628571428571421,0.3771428571428572,0.3771428571428572,0,0.0,2,0,0.0012,0
C2_n0.03_d000_r03,C2,202635,0.03,0,0.4228571428571426,0.41714285714285815,0.4228571428571426,0,0.0,2,0,0.0012,0
C2_n0.03_d000_r04,C2,202636,0.03,0,0.44285714285714217,0.1971428571428575,0.44285714285714217,0,0.0,2,0,0.0012,0
C2_n0.03_d000_r05,C2,202637,0.03,0,0.38285714285714256,0.3771428571428572,0.38285714285714256,0,0.0,2,0,0.0012,0
C2_n0.03_d100_r01,C2,202638,0.03,100,0.4228571428571426,0.35714285714285765,0.4228571428571426,0,0.0,2,0,0.0012,5
C2_n0.03_d100_r02,C2,202639,0.03,100,0.3428571428571425,0.41714285714285815,0.41714285714285815,0,0.0,2,0,0.0012,5
C2_n0.03_d100_r03,C2,202640,0.03,100,0.5828571428571427,0.5571428571428569,0.5828571428571427,0,0.0,2,0,0.0012,5
C2_n0.03_d100_r04,C2,202641,0.03,100,0.4828571428571422,0.5971428571428579,0.5971428571428579,0,0.0,2,0,0.0012,5
C2_n0.03_d100_r05,C2,202642,0.03,100,0.28285714285714203,0.4571428571428573,0.4571428571428573,0,0.0,2,0,0.0012,5
C2_n0.03_d300_r01,C2,202643,0.03,300,0.5828571428571427,0.637142857142857,0.637142857142857,0,0.0,2,0,0.0012,15
C2_n0.03_d300_r02,C2,202644,0.03,300,0.7228571428571424,0.5971428571428579,0.7228571428571424,0,0.0,2,0,0.0012,15
C2_n0.03_d300_r03,C2,202645,0.03,300,0.6228571428571428,0.5971428571428579,0.6228571428571428,0,0.0,2,0,0.0012,15
C2_n0.03_d300_r04,C2,202646,0.03,300,0.6028571428571423,0.5771428571428583,0.6028571428571423,0,0.0,2,0,0.0012,15
C2_n0.03_d300_r05,C2,202647,0.03,300,0.46285714285714263,0.6171428571428574,0.6171428571428574,0,0.0,2,0,0.0012,15
