time_s,body_x_m,o1,o2,support_legs
0.050000,0.000000,0.807511,-0.131108,3.000000
0.100000,0.005806,0.701944,-0.544186,3.000000
0.150000,0.018396,0.473032,-0.775480,3.000000
0.200000,0.038104,0.114716,-0.825945,3.000000
0.250000,0.062068,-0.320990,-0.774590,3.000000
0.300000,0.081354,-0.671649,-0.620129,3.000000
0.350000,0.089148,-0.813359,-0.332934,3.000000
0.400000,0.089148,-0.814536,0.070077,3.000000
0.450000,0.094184,-0.722978,0.494964,3.000000
0.500000,0.105747,-0.512728,0.756597,3.000000
0.550000,0.124560,-0.170681,0.826054,3.000000
0.600000,0.148308,0.261111,0.786990,3.000000
0.650000,0.168902,0.635542,0.649012,3.000000
0.700000,0.178189,0.804395,0.380249,3.000000
0.750000,0.178189,0.819936,-0.009737,3.000000
0.800000,0.182491,0.741722,-0.442258,3.000000
0.850000,0.193044,0.549852,-0.733891,3.000000
0.900000,0.210924,0.224760,-0.824271,3.000000
0.950000,0.234299,-0.200246,-0.797595,3.000000
1.000000,0.256012,-0.595024,-0.675298,3.000000
1.050000,0.266878,-0.792596,-0.425208,3.000000
1.100000,0.268589,-0.823705,-0.049522,3.000000
1.150000,0.268589,-0.758306,0.386602,3.000000
1.200000,0.278157,-0.584356,0.707089,3.000000
1.250000,0.295072,-0.276797,0.820430,3.000000
1.300000,0.317941,0.138998,0.806487,3.000000
1.350000,0.340560,0.550250,0.699061,3.000000
1.400000,0.353067,0.777651,0.467734,3.000000
1.450000,0.355715,0.825800,0.107378,3.000000
1.500000,0.355715,0.772857,-0.328601,3.000000
1.550000,0.364330,0.616217,-0.675978,3.000000
1.600000,0.380255,0.326671,-0.814323,3.000000
1.650000,0.402507,-0.077910,-0.813722,3.000000
1.700000,0.425805,-0.501512,-0.720399,3.000000
1.750000,0.439980,-0.759238,-0.507757,3.000000
1.800000,0.443660,-0.826143,-0.163573,3.000000
1.850000,0.443660,-0.785496,0.268894,3.000000
1.900000,0.451363,-0.645438,0.640443,3.000000
1.950000,0.466277,-0.374283,0.805702,3.000000
2.000000,0.487823,0.017458,0.819332,3.000000
2.050000,0.511570,0.449227,0.739431,3.000000
2.100000,0.527400,0.737042,0.545215,3.000000
2.150000,0.532216,0.824612,0.217904,3.000000
2.200000,0.532216,0.796326,-0.208122,3.000000
2.250000,0.539051,0.672055,-0.600488,3.000000
2.300000,0.552939,0.419550,-0.794286,3.000000
2.350000,0.573706,0.041960,-0.823312,3.000000
2.400000,0.597679,-0.393918,-0.756286,3.000000
2.450000,0.615107,-0.710780,-0.580059,3.000000
2.500000,0.621172,-0.821047,-0.270211,3.000000
2.550000,0.621172,-0.805435,0.146891,3.000000
2.600000,0.627183,-0.696137,0.556249,3.000000
2.650000,0.640039,-0.462393,0.779764,3.000000
2.700000,0.659970,-0.100012,0.825627,3.000000
2.750000,0.683961,0.336183,0.771092,3.000000
2.800000,0.702883,0.680233,0.612260,3.000000
2.850000,0.710309,0.815245,0.320370,3.000000
2.900000,0.710309,0.812882,-0.085755,3.000000
2.950000,0.715540,0.717781,-0.508000,3.000000
3.000000,0.727367,0.502743,-0.761816,3.000000
3.050000,0.746414,0.156433,-0.826201,3.000000
3.100000,0.770234,-0.276660,-0.783971,3.000000
3.150000,0.790507,-0.645271,-0.641820,3.000000
3.200000,0.799401,-0.806964,-0.368279,3.000000
3.250000,0.799401,-0.818700,0.025196,3.000000
3.300000,0.803888,-0.737104,0.456145,3.000000
3.350000,0.814700,-0.540535,0.740124,3.000000
3.400000,0.832823,-0.211014,0.824920,3.000000
3.450000,0.856308,0.215990,0.795029,3.000000
3.500000,0.877752,0.605881,0.668770,3.000000
3.550000,0.888205,0.795924,0.413852,3.000000
3.600000,0.889688,0.822892,0.034375,3.000000
3.650000,0.889688,0.754232,-0.401193,3.000000
3.700000,0.899506,0.575717,-0.714400,3.000000
3.750000,0.916673,0.263590,-0.821627,3.000000
3.800000,0.939684,-0.154786,-0.804356,3.000000
3.850000,0.962091,-0.562181,-0.693174,3.000000
3.900000,0.974171,-0.781821,-0.457012,3.000000
3.950000,0.976569,-0.825424,-0.092619,3.000000
4.000000,0.976569,-0.769295,0.343736,3.000000
4.050000,0.985426,-0.608260,0.684415,3.000000
4.100000,1.001609,-0.314032,0.816127,3.000000
4.150000,1.024029,0.093609,0.812014,3.000000
4.200000,1.047174,0.514429,0.715126,3.000000
4.250000,1.060919,0.764332,0.497687,3.000000
4.300000,1.064323,0.826228,0.149263,3.000000
4.350000,1.064323,0.782416,-0.284407,3.000000
4.400000,1.072257,0.638159,-0.650025,3.000000
4.450000,1.087433,0.362236,-0.808179,3.000000
4.500000,1.109168,-0.032951,-0.818041,3.000000
4.550000,1.132821,-0.463011,-0.734740,3.000000
4.600000,1.148228,-0.743139,-0.535811,3.000000
4.650000,1.152741,-0.825194,-0.204091,3.000000
4.700000,1.152741,-0.793703,0.223849,3.000000
4.750000,1.159796,-0.665442,0.611202,3.000000
4.800000,1.173949,-0.408114,0.797512,3.000000
4.850000,1.194923,-0.026767,0.822444,3.000000
4.900000,1.218859,0.408427,0.752144,3.000000
4.950000,1.235882,0.717950,0.571332,3.000000
5.000000,1.241615,0.822171,0.256933,3.000000
5.050000,1.241615,0.803249,-0.162681,3.000000
5.100000,1.247834,0.690169,-0.568046,3.000000
5.150000,1.260956,0.451589,-0.783821,3.000000
5.200000,1.281107,0.085199,-0.825193,3.000000
5.250000,1.305112,-0.351257,-0.767466,3.000000
5.300000,1.323662,-0.688523,-0.604216,3.000000
5.350000,1.330726,-0.816967,-0.307656,3.000000
5.400000,1.330726,-0.811119,0.101471,3.000000
5.450000,1.336154,-0.712431,0.520796,3.000000
5.500000,1.348246,-0.492588,0.766787,3.000000
5.550000,1.367525,-0.142063,0.826225,3.000000
5.600000,1.391405,0.292133,0.780830,3.000000
5.650000,1.411347,0.654705,0.634454,3.000000
5.700000,1.419852,0.809350,0.356154,3.000000
5.750000,1.419852,0.817356,-0.040722,3.000000
5.800000,1.424528,0.732340,-0.469825,3.000000
5.850000,1.435599,0.531044,-0.746089,3.000000
5.900000,1.453964,0.197136,-0.825435,3.000000
5.950000,1.477550,-0.231698,-0.792348,3.000000
6.000000,1.498712,-0.616450,-0.662072,3.000000
6.050000,1.508754,-0.799049,-0.402337,3.000000
6.100000,1.510015,-0.821968,-0.019139,3.000000
6.150000,1.510015,-0.750021,0.415618,3.000000
6.200000,1.520087,-0.566903,0.721428,3.000000
6.250000,1.537503,-0.250242,0.822678,3.000000
6.300000,1.560648,0.170576,0.802114,3.000000
6.350000,1.582827,0.573842,0.687124,3.000000
6.400000,1.594483,0.785766,0.446125,3.000000
6.450000,1.596638,0.824934,0.077753,3.000000
6.500000,1.596638,0.765604,-0.358746,3.000000
6.550000,1.605739,0.600128,-0.692559,3.000000
6.600000,1.622177,0.301244,-0.817768,3.000000
6.650000,1.644760,-0.109342,-0.810198,3.000000
6.700000,1.667736,-0.527102,-0.709698,3.000000
6.750000,1.681051,-0.769181,-0.487447,3.000000
6.800000,1.684186,-0.826192,-0.134833,3.000000
6.850000,1.684186,-0.779214,0.299838,3.000000
6.900000,1.692354,-0.630706,0.659312,3.000000
6.950000,1.707791,-0.350033,0.810476,3.000000
7.000000,1.729711,0.048507,0.816643,3.000000
7.050000,1.753255,0.476585,0.729903,3.000000
7.100000,1.768237,0.748972,0.526234,3.000000
7.150000,1.772453,0.825644,0.190147,3.000000
7.200000,1.772453,0.790965,-0.239536,3.000000
7.250000,1.779730,0.658659,-0.621627,3.000000
7.300000,1.794148,0.396519,-0.800537,3.000000
7.350000,1.815325,0.011489,-0.821466,3.000000
7.400000,1.839209,-0.422764,-0.747863,3.000000
7.450000,1.855823,-0.724837,-0.562430,3.000000
7.500000,1.861230,-0.823150,-0.243515,3.000000
7.550000,1.861230,-0.800951,0.178469,3.000000
7.600000,1.867660,-0.684037,0.579570,3.000000
7.650000,1.881048,-0.440621,0.787656,3.000000
7.700000,1.901417,-0.070282,0.824646,3.000000
7.750000,1.925423,0.366202,0.763709,3.000000
7.800000,1.943591,0.696521,0.595995,3.000000
7.850000,1.950301,0.818529,0.294795,3.000000
7.900000,1.950301,0.809249,-0.117219,3.000000
7.950000,1.955929,0.706925,-0.533345,3.000000
8.000000,1.968285,0.482264,-0.771514,3.000000
8.050000,1.987793,0.127573,-0.826128,3.000000
8.100000,2.011723,-0.307519,-0.777567,3.000000
8.150000,2.031321,-0.663844,-0.626915,3.000000
8.200000,2.039446,-0.811558,-0.343875,3.000000
8.250000,2.039446,-0.815904,0.056307,3.000000
8.300000,2.044312,-0.727428,0.483290,3.000000
8.350000,2.055644,-0.521381,0.751790,3.000000
8.400000,2.074248,-0.183126,0.825820,3.000000
8.450000,2.097925,0.247361,0.789551,3.000000
8.500000,2.118790,0.626730,0.655203,3.000000
8.550000,2.128429,0.801976,0.390662,3.000000
8.600000,2.129472,0.820936,0.003820,3.000000
8.650000,2.129472,0.745671,-0.429865,3.000000
8.700000,2.139798,0.557914,-0.728177,3.000000
8.750000,2.157462,0.236753,-0.823587,3.000000
8.800000,2.180733,-0.186359,-0.799761,3.000000
8.850000,2.202671,-0.585228,-0.680909,3.000000
8.900000,2.213906,-0.789492,-0.435075,3.000000
8.950000,2.215822,-0.824330,-0.062786,3.000000
9.000000,2.215822,-0.761782,0.373622,3.000000
9.050000,2.225170,-0.591819,0.700412,3.000000
9.100000,2.241863,-0.288309,0.819251,3.000000
9.150000,2.264600,0.125102,0.808272,3.000000
9.200000,2.287394,0.539524,0.704112,3.000000
9.250000,2.300278,0.773788,0.477039,3.000000
9.300000,2.303152,0.826036,0.120285,3.000000
9.350000,2.303152,0.775889,-0.315177,3.000000
9.400000,2.311556,0.623079,-0.668303,3.000000
9.450000,2.327253,0.337678,-0.812597,3.000000
